MaSanPham,TenSanPham,DanhMuc,MauSac,KichThuoc,GiaTien,TonKho,MoTa,DanhGia
P001,Áo thun basic,Tops,Trắng,M,150000,50,"Áo thun 100% cotton cao cấp màu trắng tinh tế. Thiết kế form regular fit vừa vặn, không quá bó sát, tạo cảm giác thoải mái tối đa. Chất vải co giãn 4 chiều, thấm hút mồ hôi tốt, phù hợp mặc hàng ngày hoặc làm áo lót trong. Dễ dàng phối với quần jean, quần short hay quần tây.",4.8
P002,Quần jean slim fit,Bottoms,Xanh dương,32,450000,30,"Quần jean nam dáng slim fit hiện đại, tôn dáng người mặc. Chất liệu denim dày dặn nhưng vẫn có độ co giãn nhẹ nhờ pha spandex, giúp vận động dễ dàng. Màu xanh dương wash nhẹ trẻ trung, bền màu sau nhiều lần giặt. Đường may đôi chắc chắn tại các điểm chịu lực.",4.6
P003,Áo hoodie có mũ,Outerwear,Đen,L,350000,20,"Áo hoodie nỉ bông dày dặn, giữ ấm cơ thể cực tốt trong những ngày se lạnh. Thiết kế unisex với mũ trùm đầu dây rút tiện lợi và túi kangaroo phía trước rộng rãi. Bo tay và gấu áo dệt gân co giãn, giữ form áo đẹp. Phong cách street style năng động.",4.7
P004,Váy hoa mùa hè,Dresses,Đỏ,S,280000,15,"Váy liền thân họa tiết hoa nhí trên nền đỏ rực rỡ, mang lại vẻ đẹp nữ tính và dịu dàng. Chất liệu voan lụa 2 lớp mềm mại, thoáng mát, có lớp lót trong kín đáo. Thiết kế eo chun co giãn thoải mái, tùng váy xòe nhẹ bay bổng, rất hợp cho những chuyến du lịch biển.",4.9
P005,Quần short thể thao,Bottoms,Xám,M,120000,40,"Quần short thể thao nam chất liệu poly-spandex chuyên dụng. Vải nhẹ, thoáng khí, khô nhanh (quick-dry), hỗ trợ tối đa cho việc chạy bộ, tập gym hay chơi thể thao. Cạp chun có dây rút điều chỉnh độ rộng linh hoạt. Có 2 túi khóa kéo bên hông an toàn để đựng đồ cá nhân.",4.5
P006,Áo khoác jean,Outerwear,Xanh dương,XL,550000,10,"Áo khoác denim form rộng (oversize) bụi bặm, đậm chất vintage. Chất jean dày dặn, đứng form, không bai dão. Thiết kế 4 túi cổ điển (2 túi ngực, 2 túi hông). Nút cài kim loại chống gỉ sáng bóng. Là món đồ không thể thiếu để nâng tầm phong cách layer.",4.7
P007,Áo polo,Tops,Navy,L,200000,35,"Áo polo nam vải cá sấu (piqué) cotton poly bền đẹp, ít nhăn nhàu. Cổ bẻ và bo tay dệt kim lịch sự, form dáng smart-casual phù hợp cho cả đi làm công sở lẫn đi chơi cuối tuần. Màu xanh navy trung tính, tôn da và dễ phối đồ.",4.6
P008,Quần chino,Bottoms,Be,34,400000,25,"Quần chino kaki dáng đứng (straight fit) thanh lịch. Chất vải kaki cotton dày vừa phải, đứng dáng, không bám bụi. Màu be nhã nhặn, dễ dàng kết hợp với áo sơ mi trắng hoặc áo polo cho vẻ ngoài chỉn chu. Có túi xéo hai bên và túi mổ sau.",4.5
P009,Khăn choàng mùa đông,Accessories,Xanh lá,One Size,90000,60,"Khăn choàng cổ len pha acrylic mềm mịn, không gây ngứa - kích ứng da. Kích thước dài rộng đủ để quàng nhiều kiểu khác nhau. Màu xanh lá đậm (dark green) lạ mắt, tạo điểm nhấn cho trang phục mùa đông. Giữ ấm vùng cổ và ngực hiệu quả.",4.8
P010,Nón lưỡi trai,Accessories,Đen,One Size,80000,45,"Nón kết (lưỡi trai) vải kaki bền chắc. Form nón cứng cáp, giữ dáng tốt. Phía sau có khóa kim loại điều chỉnh kích thước linh hoạt vừa vặn mọi vòng đầu. Logo thêu nổi tinh tế mặt trước. Phụ kiện che nắng và hoàn thiện phong cách thể thao.",4.4
P011,Áo thun in hình,Tops,Vàng,S,160000,20,"Áo thun cotton cổ tròn màu vàng mù tạt trendy. Hình in graphic art trước ngực sử dụng công nghệ in lụa cao cấp, không bong tróc khi giặt máy. Form áo suông rộng thoải mái. Mang lại sự trẻ trung, năng động và cá tính.",4.6
P012,Thắt lưng da,Accessories,Nâu,L,150000,30,"Thắt lưng nam làm từ da tổng hợp cao cấp (PU), vân da tự nhiên sang trọng. Mặt khóa kim loại hợp kim đúc nguyên khối, chống gỉ sét, thiết kế khóa cài tiện lợi. Bản rộng 3.5cm tiêu chuẩn, phù hợp với đỉa quần tây và quần jean.",4.3
P013,Vớ cotton (3 đôi),Accessories,Trắng/Xám,M,70000,100,"Set 3 đôi tất (vớ) cổ ngắn. Chất liệu 80% cotton, 20% spadex giúp thấm hút mồ hôi chân cực tốt, khử mùi hiệu quả. Cổ tất có bo chun ôm nhẹ mắt cá chân, không bị tuột khi di chuyển. Độ dày vừa phải, thích hợp mang cả 4 mùa.",4.9
P014,Áo khoác gió,Outerwear,Cam,L,320000,18,"Áo khoác gió 2 lớp: lớp ngoài vải dù trượt nước (water-repellent) ngăn thấm nước nhẹ, lớp trong lót lưới thoáng khí. Màu cam neon nổi bật, an toàn hơn khi di chuyển buổi tối. Siêu nhẹ, có thể gấp gọn vào túi đi kèm tiện lợi.",4.7
P015,Quần legging yoga,Bottoms,Tím,M,180000,25,"Quần tập yoga nữ cạp cao (high-waist) giúp gen bụng, tôn vòng eo và vòng 3. Chất vải thun lạnh co giãn 4 chiều siêu tốt, bề mặt vải láng mịn, không xù lông. Đường may phẳng (flatlock) hạn chế ma sát với da khi tập luyện cường độ cao.",4.8
P016,Áo cardigan,Outerwear,Hồng,S,250000,12,"Áo khoác len cardigan dáng ngắn (crop) style Hàn Quốc. Chất len dệt kim mỏng nhẹ, mềm mại, thích hợp khoác nhẹ trong phòng máy lạnh hoặc tiết trời thu. Màu hồng pastel ngọt ngào, tay áo bo nhẹ phồng nữ tính. Nút cài ngọc trai nhân tạo sang trọng.",4.8
P017,Áo sơ mi công sở,Tops,Trắng,40,300000,22,"Áo sơ mi nam công sở dài tay, form slim fit tôn dáng. Chất liệu vải kate lụa tre (bamboo fabric) kháng khuẩn, chống nhăn tự nhiên và cực kỳ mát mẻ. Cổ áo được ép keo cứng cáp, luôn đứng form kể cả khi không thắt cà vạt. Món đồ must-have của quý ông.",4.7
P018,Chân váy xếp ly,Bottoms,Đen,M,220000,15,"Chân váy ngắn xếp ly dáng tennis năng động. Chất vải tuyết mưa dày dặn, các nếp xếp ly sắc nét, không bị mất nếp sau khi giặt. Có quần bảo hộ may liền bên trong giúp bạn gái tự tin vận động. Dễ dàng mix-match với áo phông, croptop.",4.6
